id,iso,country,country_wide,adm1,adm1_eng_name,months,event,event_type,label,comment,source,source_date,source_link
1582,['GRC'],['Greece'],True,"GRC.1_1, GRC.2_1, GRC.3_1, GRC.4_1, GRC.5_1, GRC.6_1, GRC.7_1, GRC.8_1",,"['October', 'November']",['1st/main harvest'],['Harvest'],['Cotton'],Cotton harvest,USDA,2022-06-10,https://ipad.fas.usda.gov/rssiws/al/crop_calendar/europe.aspx
1583,['GRC'],['Greece'],True,"GRC.1_1, GRC.2_1, GRC.3_1, GRC.4_1, GRC.5_1, GRC.6_1, GRC.7_1, GRC.8_1",,"['April', 'May']",['1st/main planting'],['Planting and growing'],['Rice'],Rice planting ,USDA,2022-06-10,https://ipad.fas.usda.gov/rssiws/al/crop_calendar/europe.aspx
1584,['GRC'],['Greece'],True,"GRC.1_1, GRC.2_1, GRC.3_1, GRC.4_1, GRC.5_1, GRC.6_1, GRC.7_1, GRC.8_1",,"['September', 'October']",['1st/main harvest'],['Harvest'],['Rice'],Rice harvest,USDA,2022-06-10,https://ipad.fas.usda.gov/rssiws/al/crop_calendar/europe.aspx
1585,['GRC'],['Greece'],True,"GRC.1_1, GRC.2_1, GRC.3_1, GRC.4_1, GRC.5_1, GRC.6_1, GRC.7_1, GRC.8_1",,"['June', 'July', 'August']",['1st/main harvest'],['Harvest'],['Wheat'],Wheat harvest ,USDA,2022-06-10,https://ipad.fas.usda.gov/rssiws/al/crop_calendar/europe.aspx
1586,['GRC'],['Greece'],True,"GRC.1_1, GRC.2_1, GRC.3_1, GRC.4_1, GRC.5_1, GRC.6_1, GRC.7_1, GRC.8_1",,"['September', 'October']",['1st/main planting'],['Planting and growing'],['Wheat'],Wheat planting ,USDA,2022-06-10,https://ipad.fas.usda.gov/rssiws/al/crop_calendar/europe.aspx
165,['PHL'],['Philippines'],True,"PHL.1_1, PHL.2_1, PHL.3_1, PHL.4_1, PHL.5_1, PHL.6_1, PHL.7_1, PHL.8_1, PHL.9_1, PHL.10_1, PHL.11_1, PHL.12_1, PHL.13_1, PHL.14_1, PHL.15_1, PHL.16_1, PHL.17_1, PHL.18_1, PHL.19_1, PHL.20_1, PHL.21_1, PHL.22_1, PHL.23_1, PHL.24_1, PHL.25_1, PHL.26_1, PHL.27_1, PHL.28_1, PHL.29_1, PHL.30_1, PHL.31_1, PHL.32_1, PHL.33_1, PHL.34_1, PHL.35_1, PHL.36_1, PHL.37_1, PHL.38_1, PHL.39_1, PHL.40_1, PHL.41_1, PHL.42_1, PHL.43_1, PHL.44_1, PHL.45_1, PHL.46_1, PHL.47_1, PHL.48_1, PHL.49_1, PHL.50_1, PHL.51_1, PHL.52_1, PHL.53_1, PHL.54_1, PHL.55_1, PHL.56_1, PHL.57_1, PHL.58_1, PHL.59_1, PHL.60_1, PHL.61_1, PHL.62_1, PHL.63_1, PHL.64_1, PHL.65_1, PHL.66_1, PHL.67_1, PHL.68_1, PHL.69_1, PHL.70_1, PHL.71_1, PHL.72_1, PHL.73_1, PHL.74_1, PHL.75_1, PHL.76_1, PHL.77_1, PHL.78_1, PHL.79_1, PHL.80_1, PHL.81_1",,"['July', 'August', 'September']",['Lean season'],['Lean season'],['Lean season'],Lean Season,FAO ,2015-01-01,https://www.fao.org/3/bc247e/bc247e.pdf
166,['PHL'],['Philippines'],True,"PHL.1_1, PHL.2_1, PHL.3_1, PHL.4_1, PHL.5_1, PHL.6_1, PHL.7_1, PHL.8_1, PHL.9_1, PHL.10_1, PHL.11_1, PHL.12_1, PHL.13_1, PHL.14_1, PHL.15_1, PHL.16_1, PHL.17_1, PHL.18_1, PHL.19_1, PHL.20_1, PHL.21_1, PHL.22_1, PHL.23_1, PHL.24_1, PHL.25_1, PHL.26_1, PHL.27_1, PHL.28_1, PHL.29_1, PHL.30_1, PHL.31_1, PHL.32_1, PHL.33_1, PHL.34_1, PHL.35_1, PHL.36_1, PHL.37_1, PHL.38_1, PHL.39_1, PHL.40_1, PHL.41_1, PHL.42_1, PHL.43_1, PHL.44_1, PHL.45_1, PHL.46_1, PHL.47_1, PHL.48_1, PHL.49_1, PHL.50_1, PHL.51_1, PHL.52_1, PHL.53_1, PHL.54_1, PHL.55_1, PHL.56_1, PHL.57_1, PHL.58_1, PHL.59_1, PHL.60_1, PHL.61_1, PHL.62_1, PHL.63_1, PHL.64_1, PHL.65_1, PHL.66_1, PHL.67_1, PHL.68_1, PHL.69_1, PHL.70_1, PHL.71_1, PHL.72_1, PHL.73_1, PHL.74_1, PHL.75_1, PHL.76_1, PHL.77_1, PHL.78_1, PHL.79_1, PHL.80_1, PHL.81_1",,"['July', 'August', 'September']",['1st/main harvest'],['Harvest'],['Maize'],Maize (Main) harvest season ,FAO,2021-04-07,https://www.fao.org/giews/countrybrief/country.jsp?code=PHL&lang=es
167,['PHL'],['Philippines'],True,"PHL.1_1, PHL.2_1, PHL.3_1, PHL.4_1, PHL.5_1, PHL.6_1, PHL.7_1, PHL.8_1, PHL.9_1, PHL.10_1, PHL.11_1, PHL.12_1, PHL.13_1, PHL.14_1, PHL.15_1, PHL.16_1, PHL.17_1, PHL.18_1, PHL.19_1, PHL.20_1, PHL.21_1, PHL.22_1, PHL.23_1, PHL.24_1, PHL.25_1, PHL.26_1, PHL.27_1, PHL.28_1, PHL.29_1, PHL.30_1, PHL.31_1, PHL.32_1, PHL.33_1, PHL.34_1, PHL.35_1, PHL.36_1, PHL.37_1, PHL.38_1, PHL.39_1, PHL.40_1, PHL.41_1, PHL.42_1, PHL.43_1, PHL.44_1, PHL.45_1, PHL.46_1, PHL.47_1, PHL.48_1, PHL.49_1, PHL.50_1, PHL.51_1, PHL.52_1, PHL.53_1, PHL.54_1, PHL.55_1, PHL.56_1, PHL.57_1, PHL.58_1, PHL.59_1, PHL.60_1, PHL.61_1, PHL.62_1, PHL.63_1, PHL.64_1, PHL.65_1, PHL.66_1, PHL.67_1, PHL.68_1, PHL.69_1, PHL.70_1, PHL.71_1, PHL.72_1, PHL.73_1, PHL.74_1, PHL.75_1, PHL.76_1, PHL.77_1, PHL.78_1, PHL.79_1, PHL.80_1, PHL.81_1",,"['February', 'March', 'April', 'May']",['2nd harvest'],['Harvest'],['Maize'],Maize (Second) harvest season ,FAO,2021-04-07,https://www.fao.org/giews/countrybrief/country.jsp?code=PHL&lang=es
168,['PHL'],['Philippines'],True,"PHL.1_1, PHL.2_1, PHL.3_1, PHL.4_1, PHL.5_1, PHL.6_1, PHL.7_1, PHL.8_1, PHL.9_1, PHL.10_1, PHL.11_1, PHL.12_1, PHL.13_1, PHL.14_1, PHL.15_1, PHL.16_1, PHL.17_1, PHL.18_1, PHL.19_1, PHL.20_1, PHL.21_1, PHL.22_1, PHL.23_1, PHL.24_1, PHL.25_1, PHL.26_1, PHL.27_1, PHL.28_1, PHL.29_1, PHL.30_1, PHL.31_1, PHL.32_1, PHL.33_1, PHL.34_1, PHL.35_1, PHL.36_1, PHL.37_1, PHL.38_1, PHL.39_1, PHL.40_1, PHL.41_1, PHL.42_1, PHL.43_1, PHL.44_1, PHL.45_1, PHL.46_1, PHL.47_1, PHL.48_1, PHL.49_1, PHL.50_1, PHL.51_1, PHL.52_1, PHL.53_1, PHL.54_1, PHL.55_1, PHL.56_1, PHL.57_1, PHL.58_1, PHL.59_1, PHL.60_1, PHL.61_1, PHL.62_1, PHL.63_1, PHL.64_1, PHL.65_1, PHL.66_1, PHL.67_1, PHL.68_1, PHL.69_1, PHL.70_1, PHL.71_1, PHL.72_1, PHL.73_1, PHL.74_1, PHL.75_1, PHL.76_1, PHL.77_1, PHL.78_1, PHL.79_1, PHL.80_1, PHL.81_1",,"['August', 'September', 'October', 'November']",['1st/main harvest'],['Harvest'],['Potato'],Potato harvest season ,FAO,2021-04-07,https://www.fao.org/giews/countrybrief/country.jsp?code=PHL&lang=es
169,['PHL'],['Philippines'],True,"PHL.1_1, PHL.2_1, PHL.3_1, PHL.4_1, PHL.5_1, PHL.6_1, PHL.7_1, PHL.8_1, PHL.9_1, PHL.10_1, PHL.11_1, PHL.12_1, PHL.13_1, PHL.14_1, PHL.15_1, PHL.16_1, PHL.17_1, PHL.18_1, PHL.19_1, PHL.20_1, PHL.21_1, PHL.22_1, PHL.23_1, PHL.24_1, PHL.25_1, PHL.26_1, PHL.27_1, PHL.28_1, PHL.29_1, PHL.30_1, PHL.31_1, PHL.32_1, PHL.33_1, PHL.34_1, PHL.35_1, PHL.36_1, PHL.37_1, PHL.38_1, PHL.39_1, PHL.40_1, PHL.41_1, PHL.42_1, PHL.43_1, PHL.44_1, PHL.45_1, PHL.46_1, PHL.47_1, PHL.48_1, PHL.49_1, PHL.50_1, PHL.51_1, PHL.52_1, PHL.53_1, PHL.54_1, PHL.55_1, PHL.56_1, PHL.57_1, PHL.58_1, PHL.59_1, PHL.60_1, PHL.61_1, PHL.62_1, PHL.63_1, PHL.64_1, PHL.65_1, PHL.66_1, PHL.67_1, PHL.68_1, PHL.69_1, PHL.70_1, PHL.71_1, PHL.72_1, PHL.73_1, PHL.74_1, PHL.75_1, PHL.76_1, PHL.77_1, PHL.78_1, PHL.79_1, PHL.80_1, PHL.81_1",,"['September', 'October', 'November', 'December']",['1st/main harvest'],['Harvest'],['Rice'],Rice (Main) harvest season ,FAO,2021-04-07,https://www.fao.org/giews/countrybrief/country.jsp?code=PHL&lang=es
